Item ID,Barcode,Description,Category,RRP New,Y,New Sell Inc
52983,9316542137212,NATIO ESSENTIAL OIL PURE PEPPERMINT 25ML,FRONT / AROMATHERA / AROMATHERA,24.95,Y,21.19
187940,9316542146115,NATIO ESSENTIAL OIL TEA TREE 25ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
163468,9316542143510,NATIO FOCUS ON MAGNESIUM 100ML,FRONT / AROMATHERA / AROMATHERA,17.95,Y,15.19
163467,9316542143503,NATIO FOCUS ON SCARS & CELLULITE 100ML,FRONT / AROMATHERA / AROMATHERA,19.95,Y,16.89
144158,9316542142292,NATIO KEEPSAKE BAMBOO COLLECTOR'S BOX,FRONT / AROMATHERA / AROMATHERA,39.95,Y,33.89
52992,9316542137311,NATIO MSG OIL RELAXATION 200ML,FRONT / AROMATHERA / AROMATHERA,24.95,Y,21.19
52976,9316542137304,NATIO MSG OIL SPORT RECOVERY 200ML,FRONT / AROMATHERA / AROMATHERA,24.95,Y,21.19
52994,9316542137328,NATIO ULTRASONIC ESSENTIAL OIL DIFFUSER,FRONT / AROMATHERA / AROMATHERA,59.95,Y,50.89
185396,9312658919063,OG 3 IN 1 ULTRASONIC DIFFUSER,FRONT / AROMATHERA / AROMATHERA,39.99,Y,36.99
51357,9312658659600,OG BALANCE & HARMONY 25ML,FRONT / AROMATHERA / AROMATHERA,27.99,Y,23.99
28582,9318901200704,OG BERGAMOT 25ML,FRONT / AROMATHERA / AROMATHERA,34.99,Y,28.99
166473,9312658914662,OG BREATHE EASIER CHEST RUB STICK 12G,FRONT / AROMATHERA / AROMATHERA,11.99,Y,9.99
140015,9312658913689,OG BREATHE EASIER ROLL ON 10ML,FRONT / AROMATHERA / AROMATHERA,19.99,Y,15.49
185393,9312658918991,OG BYRON BAY ULTRASONIC DIFFUSER BREATHE EASIER 12ML (PROMO PACK),FRONT / AROMATHERA / AROMATHERA,39.95,Y,36.99
54098,9318901200841,OG CLOVE BUD 25ML,FRONT / AROMATHERA / AROMATHERA,24.99,Y,21.49
139876,9312658913740,OG HEADACHE EASE ROLL ON 10ML,FRONT / AROMATHERA / AROMATHERA,19.99,Y,14.99
213524,9312658918899,OG IMMUNITY GUARD VALUE PACK,FRONT / AROMATHERA / AROMATHERA,49.99,Y,41.99
27013,9312658300038,OG JOJOBA OIL 100ML,FRONT / AROMATHERA / AROMATHERA,29.99,Y,26.49
27132,9318901200735,OG LAVENDER 25ML,FRONT / AROMATHERA / AROMATHERA,29.99,Y,19.99
34659,9318901800072,OG LEMON 25ML,FRONT / AROMATHERA / AROMATHERA,22.99,Y,19.49
10173,9318901200742,OG LEMONGRASS 25ML,FRONT / AROMATHERA / AROMATHERA,22.99,Y,15.99
34789,9318901600009,OG LOVE & FRIENDSHIP 100ML,FRONT / AROMATHERA / AROMATHERA,24.99,Y,21.49
139878,9312658913610,OG MEDICINAL OIL BREATHE EASIER 25ML,FRONT / AROMATHERA / AROMATHERA,29.99,Y,25.99
140016,9312658913665,OG MEDICINAL OIL ENERGY BOOST 25ML,FRONT / AROMATHERA / AROMATHERA,29.99,Y,26.49
140017,9312658913443,OG MEDICINAL OIL HEADACHE EASE 25ML,FRONT / AROMATHERA / AROMATHERA,29.99,Y,26.49
140018,9312658913658,OG MEDICINAL OIL SLEEP ASSIST 25ML,FRONT / AROMATHERA / AROMATHERA,29.99,Y,26.49
139881,9312658913641,OG MEDICINAL OIL STRESS RELIEF 25ML,FRONT / AROMATHERA / AROMATHERA,29.99,Y,26.49
211704,9312658918868,OG MINDFUL SCENTS TRIO PACK 3X12ML,FRONT / AROMATHERA / AROMATHERA,39.99,Y,34.99
213714,9312658918875,OG NATURAL WELLNESS TRIO PACK,FRONT / AROMATHERA / AROMATHERA,39.99,Y,36.99
210848,9312658918882,OG OASIS ULTRASONIC,FRONT / AROMATHERA / AROMATHERA,49.99,Y,41.99
18458,9318901200766,OG ORANGE 25ML,FRONT / AROMATHERA / AROMATHERA,18.99,Y,16.49
21785,9312658200772,OG PATCHOULI 25ML,FRONT / AROMATHERA / AROMATHERA,27.99,Y,23.99
51358,9312658659617,OG PEACE & WELLBEING 25ML,FRONT / AROMATHERA / AROMATHERA,29.99,Y,26.49
12702,9318901200780,OG PEPPERMINT 25ML,FRONT / AROMATHERA / AROMATHERA,21.99,Y,15.99
144068,9318901200063,OG REFRESH & RENEW 25ML,FRONT / AROMATHERA / AROMATHERA,27.99,Y,23.99
45613,9318901300619,OG ROSE WATER 100ML,FRONT / AROMATHERA / AROMATHERA,19.99,Y,17.49
21916,9318901300312,OG ROSEHIP 25ML,FRONT / AROMATHERA / AROMATHERA,18.99,Y,16.49
