sku,name,price,special_price,special_price_from_date,special_price_to_date,sale_price,qty,barcode,ean
168513,L'Oreal Infall Le Rouge Signature Ink 128 Decide,24.95,12.47,5/12/2022,5/26/2022,21.19,0,3600523739035,3600523739035
168514,L'Oreal Infall Le Rouge Signature Ink 129 Lead,24.95,12.47,5/12/2022,5/26/2022,21.19,2,3600523739042,3600523739042
183165,Difflam Ready To Use Sore Throat Gargle With Iodine 200mL,13.99,10.49,5/12/2022,5/26/2022,12.49,2,9314057014103,9314057014103
19535,DIFFLAM FORTE THROAT SPR 15ML,15.99,11.99,5/12/2022,5/26/2022,13.99,21,9314057004913,9314057004913
168515,L'Oreal Infall Le Rouge Sig Sun 121 I Choose,24.95,12.47,5/12/2022,5/26/2022,21.19,5,3600523739073,3600523739073
162799,L'Oreal Infall Le Rouge Signature Ink 103 I Enjoy,24.95,12.47,5/12/2022,5/26/2022,21.19,5,3600523543786,3600523543786
162800,L'Oreal Infall Le Rouge Signature Ink 104 I Rebel,24.95,12.47,5/12/2022,5/26/2022,21.19,2,3600523543649,3600523543649
162801,L'Oreal Infall Le Rouge Signature Ink 105 I Rule,24.95,12.47,5/12/2022,5/26/2022,21.19,4,3600523543656,3600523543656
162802,L'Oreal Infall Le Rouge Signature Ink 106 I Speak Up,24.95,12.47,5/12/2022,5/26/2022,21.19,5,3600523543663,3600523543663
162804,L'Oreal Infall Le Rouge Signature Ink 110 I Empower,24.95,12.47,5/12/2022,5/26/2022,21.19,3,3600523543700,3600523543700
162805,L'Oreal Infall Le Rouge Signature Ink 112 I Achieve,24.95,12.47,5/12/2022,5/26/2022,21.19,7,3600523543724,3600523543724
162806,L'Oreal Infall Le Rouge Signature Ink 113 I Don’T,24.95,12.47,5/12/2022,5/26/2022,21.19,7,3600523543731,3600523543731
162807,L'Oreal Infall Le Rouge Signature Ink 114 I Represent,24.95,12.47,5/12/2022,5/26/2022,21.19,6,3600523543748,3600523543748
162808,L'Oreal Infall Le Rouge Signature Ink 115 I Am Worth It,24.95,12.47,5/12/2022,5/26/2022,21.19,9,3600523543670,3600523543670
162809,L'Oreal Infall Le Rouge Signature Ink 116 I Explore,24.95,12.47,5/12/2022,5/26/2022,21.19,1,3600523543762,3600523543762
162810,L'Oreal Infall Le Rouge Signature Ink 117 I Stand,24.95,12.47,5/12/2022,5/26/2022,21.19,0,3600523543779,3600523543779
24004,Gaia Natural Baby Bamboo Wipes 20 Pack,3.49,2.44,5/12/2022,5/26/2022,2.79,30,9332059000443,
45615,Gaia Natural Baby Bamboo Wipes 240 Pack,15.49,10.84,5/12/2022,5/26/2022,15.49,8,9332059000528,
159037,L'Oreal Infall Liquid Foundation 120 Vanilla,31.95,15.97,5/12/2022,5/26/2022,27.09,6,3600523614455,3600523614455
12431,Gaia Natural Baby Bamboo Wipes 80 Pack,6.49,4.54,5/12/2022,5/26/2022,6.49,7,9332059000337,
